grib_id,hrap_x,hrap_y,bin_area,center_lon,center_lat,time,day,hour,month_day,rain_mm,year,month
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T00:00:00Z,4,0,7_4,0,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T01:00:00Z,4,1,7_4,0,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T02:00:00Z,4,2,7_4,0,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T03:00:00Z,4,3,7_4,0,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T04:00:00Z,4,4,7_4,0.25,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T05:00:00Z,4,5,7_4,1.375,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T06:00:00Z,4,6,7_4,17.75,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T07:00:00Z,4,7,7_4,25.25,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T08:00:00Z,4,8,7_4,55.125,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T09:00:00Z,4,9,7_4,12.375,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T10:00:00Z,4,10,7_4,1.125,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T11:00:00Z,4,11,7_4,3.5,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T12:00:00Z,4,12,7_4,3.125,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T13:00:00Z,4,13,7_4,1.375,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T14:00:00Z,4,14,7_4,1.625,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T15:00:00Z,4,15,7_4,13.25,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T16:00:00Z,4,16,7_4,17.875,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T17:00:00Z,4,17,7_4,12.25,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T18:00:00Z,4,18,7_4,1.75,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T19:00:00Z,4,19,7_4,0.125,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T20:00:00Z,4,20,7_4,0.625,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T21:00:00Z,4,21,7_4,0,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T22:00:00Z,4,22,7_4,0,2025,7
182140,538,163,5601001,-99.5354,29.9037,2025-07-04T23:00:00Z,4,23,7_4,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T00:00:00Z,1,0,7_1,2.375,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T01:00:00Z,1,1,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T02:00:00Z,1,2,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T03:00:00Z,1,3,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T04:00:00Z,1,4,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T05:00:00Z,1,5,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T06:00:00Z,1,6,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T07:00:00Z,1,7,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T08:00:00Z,1,8,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T09:00:00Z,1,9,7_1,0.5,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T10:00:00Z,1,10,7_1,0.75,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T11:00:00Z,1,11,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T12:00:00Z,1,12,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T13:00:00Z,1,13,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T14:00:00Z,1,14,7_1,0.25,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T15:00:00Z,1,15,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T16:00:00Z,1,16,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T17:00:00Z,1,17,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T18:00:00Z,1,18,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T19:00:00Z,1,19,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T20:00:00Z,1,20,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T21:00:00Z,1,21,7_1,0.25,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T22:00:00Z,1,22,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-01T23:00:00Z,1,23,7_1,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T00:00:00Z,2,0,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T01:00:00Z,2,1,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T02:00:00Z,2,2,7_2,0.625,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T03:00:00Z,2,3,7_2,2.25,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T04:00:00Z,2,4,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T05:00:00Z,2,5,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T06:00:00Z,2,6,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T07:00:00Z,2,7,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T08:00:00Z,2,8,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T09:00:00Z,2,9,7_2,0.125,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T10:00:00Z,2,10,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T11:00:00Z,2,11,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T12:00:00Z,2,12,7_2,1.375,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T13:00:00Z,2,13,7_2,0.625,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T14:00:00Z,2,14,7_2,0.5,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T15:00:00Z,2,15,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T16:00:00Z,2,16,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T17:00:00Z,2,17,7_2,2,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T18:00:00Z,2,18,7_2,3,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T19:00:00Z,2,19,7_2,4.75,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T20:00:00Z,2,20,7_2,11.875,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T21:00:00Z,2,21,7_2,6.25,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T22:00:00Z,2,22,7_2,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-02T23:00:00Z,2,23,7_2,0.625,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T00:00:00Z,3,0,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T01:00:00Z,3,1,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T02:00:00Z,3,2,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T03:00:00Z,3,3,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T04:00:00Z,3,4,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T05:00:00Z,3,5,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T06:00:00Z,3,6,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T07:00:00Z,3,7,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T08:00:00Z,3,8,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T09:00:00Z,3,9,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T10:00:00Z,3,10,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T11:00:00Z,3,11,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T12:00:00Z,3,12,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T13:00:00Z,3,13,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T14:00:00Z,3,14,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T15:00:00Z,3,15,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T16:00:00Z,3,16,7_3,0.125,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T17:00:00Z,3,17,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T18:00:00Z,3,18,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T19:00:00Z,3,19,7_3,0.125,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T20:00:00Z,3,20,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T21:00:00Z,3,21,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T22:00:00Z,3,22,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-03T23:00:00Z,3,23,7_3,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T00:00:00Z,4,0,7_4,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T01:00:00Z,4,1,7_4,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T02:00:00Z,4,2,7_4,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T03:00:00Z,4,3,7_4,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T04:00:00Z,4,4,7_4,0.75,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T05:00:00Z,4,5,7_4,3.5,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T06:00:00Z,4,6,7_4,16.625,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T07:00:00Z,4,7,7_4,31,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T08:00:00Z,4,8,7_4,76,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T09:00:00Z,4,9,7_4,17.75,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T10:00:00Z,4,10,7_4,0.5,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T11:00:00Z,4,11,7_4,2.25,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T12:00:00Z,4,12,7_4,3.625,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T13:00:00Z,4,13,7_4,1.5,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T14:00:00Z,4,14,7_4,1.5,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T15:00:00Z,4,15,7_4,8,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T16:00:00Z,4,16,7_4,25.375,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T17:00:00Z,4,17,7_4,12.75,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T18:00:00Z,4,18,7_4,2,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T19:00:00Z,4,19,7_4,0.25,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T20:00:00Z,4,20,7_4,0.625,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T21:00:00Z,4,21,7_4,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T22:00:00Z,4,22,7_4,0,2025,7
182141,539,163,4425589,-99.4959,29.9005,2025-07-04T23:00:00Z,4,23,7_4,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T00:00:00Z,1,0,7_1,2.125,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T01:00:00Z,1,1,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T02:00:00Z,1,2,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T03:00:00Z,1,3,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T04:00:00Z,1,4,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T05:00:00Z,1,5,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T06:00:00Z,1,6,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T07:00:00Z,1,7,7_1,0.125,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T08:00:00Z,1,8,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T09:00:00Z,1,9,7_1,0.625,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T10:00:00Z,1,10,7_1,0.75,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T11:00:00Z,1,11,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T12:00:00Z,1,12,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T13:00:00Z,1,13,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T14:00:00Z,1,14,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T15:00:00Z,1,15,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T16:00:00Z,1,16,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T17:00:00Z,1,17,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T18:00:00Z,1,18,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T19:00:00Z,1,19,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T20:00:00Z,1,20,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T21:00:00Z,1,21,7_1,0.875,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T22:00:00Z,1,22,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-01T23:00:00Z,1,23,7_1,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T00:00:00Z,2,0,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T01:00:00Z,2,1,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T02:00:00Z,2,2,7_2,0.875,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T03:00:00Z,2,3,7_2,3.375,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T04:00:00Z,2,4,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T05:00:00Z,2,5,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T06:00:00Z,2,6,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T07:00:00Z,2,7,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T08:00:00Z,2,8,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T09:00:00Z,2,9,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T10:00:00Z,2,10,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T11:00:00Z,2,11,7_2,0.125,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T12:00:00Z,2,12,7_2,1.5,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T13:00:00Z,2,13,7_2,0.375,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T14:00:00Z,2,14,7_2,0.75,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T15:00:00Z,2,15,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T16:00:00Z,2,16,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T17:00:00Z,2,17,7_2,4.125,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T18:00:00Z,2,18,7_2,5.5,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T19:00:00Z,2,19,7_2,0.875,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T20:00:00Z,2,20,7_2,6.75,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T21:00:00Z,2,21,7_2,5,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T22:00:00Z,2,22,7_2,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-02T23:00:00Z,2,23,7_2,2.25,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T00:00:00Z,3,0,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T01:00:00Z,3,1,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T02:00:00Z,3,2,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T03:00:00Z,3,3,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T04:00:00Z,3,4,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T05:00:00Z,3,5,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T06:00:00Z,3,6,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T07:00:00Z,3,7,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T08:00:00Z,3,8,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T09:00:00Z,3,9,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T10:00:00Z,3,10,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T11:00:00Z,3,11,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T12:00:00Z,3,12,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T13:00:00Z,3,13,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T14:00:00Z,3,14,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T15:00:00Z,3,15,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T16:00:00Z,3,16,7_3,0.125,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T17:00:00Z,3,17,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T18:00:00Z,3,18,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T19:00:00Z,3,19,7_3,0.125,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T20:00:00Z,3,20,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T21:00:00Z,3,21,7_3,0.25,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T22:00:00Z,3,22,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-03T23:00:00Z,3,23,7_3,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T00:00:00Z,4,0,7_4,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T01:00:00Z,4,1,7_4,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T02:00:00Z,4,2,7_4,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T03:00:00Z,4,3,7_4,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T04:00:00Z,4,4,7_4,1,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T05:00:00Z,4,5,7_4,6.625,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T06:00:00Z,4,6,7_4,14.25,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T07:00:00Z,4,7,7_4,46.75,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T08:00:00Z,4,8,7_4,92.5,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T09:00:00Z,4,9,7_4,19.875,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T10:00:00Z,4,10,7_4,0.5,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T11:00:00Z,4,11,7_4,1.625,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T12:00:00Z,4,12,7_4,3.75,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T13:00:00Z,4,13,7_4,1.5,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T14:00:00Z,4,14,7_4,1.5,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T15:00:00Z,4,15,7_4,3.25,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T16:00:00Z,4,16,7_4,27.375,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T17:00:00Z,4,17,7_4,13.625,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T18:00:00Z,4,18,7_4,2.25,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T19:00:00Z,4,19,7_4,0.25,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T20:00:00Z,4,20,7_4,0.625,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T21:00:00Z,4,21,7_4,0.125,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T22:00:00Z,4,22,7_4,0,2025,7
182142,540,163,46984,-99.4564,29.8971,2025-07-04T23:00:00Z,4,23,7_4,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T00:00:00Z,1,0,7_1,3.25,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T01:00:00Z,1,1,7_1,0.625,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T02:00:00Z,1,2,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T03:00:00Z,1,3,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T04:00:00Z,1,4,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T05:00:00Z,1,5,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T06:00:00Z,1,6,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T07:00:00Z,1,7,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T08:00:00Z,1,8,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T09:00:00Z,1,9,7_1,0.375,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T10:00:00Z,1,10,7_1,0.25,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T11:00:00Z,1,11,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T12:00:00Z,1,12,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T13:00:00Z,1,13,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T14:00:00Z,1,14,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T15:00:00Z,1,15,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T16:00:00Z,1,16,7_1,0.375,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T17:00:00Z,1,17,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T18:00:00Z,1,18,7_1,0.5,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T19:00:00Z,1,19,7_1,0.25,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T20:00:00Z,1,20,7_1,2,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T21:00:00Z,1,21,7_1,3.25,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T22:00:00Z,1,22,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-01T23:00:00Z,1,23,7_1,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T00:00:00Z,2,0,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T01:00:00Z,2,1,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T02:00:00Z,2,2,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T03:00:00Z,2,3,7_2,0.125,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T04:00:00Z,2,4,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T05:00:00Z,2,5,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T06:00:00Z,2,6,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T07:00:00Z,2,7,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T08:00:00Z,2,8,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T09:00:00Z,2,9,7_2,0.375,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T10:00:00Z,2,10,7_2,0.5,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T11:00:00Z,2,11,7_2,0.75,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T12:00:00Z,2,12,7_2,0.125,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T13:00:00Z,2,13,7_2,0.125,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T14:00:00Z,2,14,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T15:00:00Z,2,15,7_2,0.25,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T16:00:00Z,2,16,7_2,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T17:00:00Z,2,17,7_2,10.375,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T18:00:00Z,2,18,7_2,0.375,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T19:00:00Z,2,19,7_2,3.5,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T20:00:00Z,2,20,7_2,2.875,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T21:00:00Z,2,21,7_2,3.875,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T22:00:00Z,2,22,7_2,0.25,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-02T23:00:00Z,2,23,7_2,0.625,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-03T00:00:00Z,3,0,7_3,0,2025,7
183257,534,164,1055652,-99.6898,29.9509,2025-07-03T01:00:00Z,3,1,7_3,0,2025,7
